
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 05월 19일~06월 17일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
합천,285,06-06,      21.4,      28.4,      15.2,       1.2,      63.3,       6.8,,,    1006.1,    1009.8,       1.2
밀양,288,06-06,      21.4,      28.2,      15.6,       1.6,      65.9,       6.8,,,    1008.6,    1010.0,       1.4
산청,289,06-06,      20.9,      27.4,      15.3,       1.9,      67.0,       7.3,,,     994.1,    1010.2,       1.3
거제,294,06-06,      20.3,      25.6,      15.8,       3.0,      69.3,       7.3,,,    1005.2,    1009.7,       1.7
남해,295,06-06,      20.8,      26.3,      16.3,       2.6,      69.3,       7.3,,,    1005.1,    1010.5,       1.3
강남,400,06-06,      22.8,      27.7,      18.7,       0.8,,,,,,,       1.6
서초,401,06-06,      22.9,      28.5,      18.3,       1.0,,,,,,,       1.3
강동,402,06-06,      22.4,      28.1,      17.3,       1.0,,,,,,,       1.4
송파,403,06-06,      22.9,      28.1,      18.7,       0.8,,,,,,,       1.6
강서,404,06-06,      21.8,      26.7,      17.7,       0.8,,,,,,,       1.6
양천,405,06-06,      22.8,      27.9,      18.6,       1.0,,,,,,,       1.4
도봉,406,06-06,      21.6,      27.6,      16.3,       1.0,,,,,,,       1.0
노원,407,06-06,      21.3,      27.7,      15.4,       1.0,,,,,,,       1.4
동대문,408,06-06,      22.8,      28.1,      18.5,       1.0,,,,,,,       1.8
중랑,409,06-06,      22.9,      28.0,      18.6,       1.1,,,,,,,       2.0
기상청,410,06-06,      22.1,      27.3,      17.9,       1.1,,,,,,,       1.4
마포,411,06-06,      22.4,      27.5,      18.4,       0.9,,,,,,,       2.0
서대문,412,06-06,      21.3,      27.5,      16.5,       1.0,,,,,,,       1.2
광진,413,06-06,      22.7,      27.9,      18.3,       0.9,,,,,,,       1.7
성북,414,06-06,      21.6,      26.9,      17.4,       1.2,,,,,,,       1.5
용산,415,06-06,      22.8,      27.9,      18.6,       1.1,,,,,,,       1.7
은평,416,06-06,      21.2,      26.8,      16.3,       0.9,,,,,,,       1.4
금천,417,06-06,      22.1,      26.5,      18.0,       1.0,,,,,,,       1.8
중구,419,06-06,      21.1,      26.8,      16.8,       0.8,,,,,,,       1.5
성동,421,06-06,      22.8,      27.7,      18.9,       1.0,,,,,,,       2.2
구로,423,06-06,      21.6,      27.2,      17.0,       1.1,,,,,,,       1.8
강북,424,06-06,      22.8,      28.1,      18.5,       1.0,,,,,,,       1.7
남현,425,06-06,      21.4,      27.3,      16.5,       1.7,,,,,,,       1.2
부천,433,06-06,      21.8,      26.7,      17.9,       1.4,,,,,,,       1.2
안양,434,06-06,      21.8,      26.5,      17.9,       1.2,,,,,,,       2.0
광명,437,06-06,      22.2,      27.0,      18.3,       1.3,,,,,,,       1.9
군포,438,06-06,      22.0,      26.9,      18.0,       1.1,,,,,,,       1.4
김포,441,06-06,      20.8,      25.7,      16.6,       1.1,,,,,,,       1.7
하남,444,06-06,      22.0,      27.6,      17.0,       0.5,,,,,,,       0.8
의왕,445,06-06,      20.7,      26.2,      15.8,       1.0,,,,,,,       1.0
포천,504,06-06,      21.1,      27.8,      15.6,       1.1,,,,,,,       1.3
가평조종,505,06-06,      19.8,      26.9,      13.4,       1.0,,,,,,,       1.0
영등포,510,06-06,      22.6,      27.7,      18.9,       1.1,,,,,,,       1.6
인천연수,512,06-06,      20.7,      25.9,      16.6,       1.2,,,,,,,       1.5
안성,516,06-06,      21.6,      27.6,      16.5,       1.0,,,,,,,       1.2
간성,517,06-06,      18.8,      23.7,      14.9,       1.7,,,,,,,       1.4
평창,526,06-06,      19.4,      26.4,      13.5,       1.3,,,,,,,       1.2
의정부,532,06-06,      21.0,      27.3,      15.5,       1.0,,,,,,,       1.0
횡성,536,06-06,      20.6,      28.1,      14.5,       1.6,,,,,,,       1.1
고양,540,06-06,      20.9,      27.9,      15.3,       0.8,,,,,,,       1.1
남양주,541,06-06,      20.8,      27.7,      14.5,       1.0,,,,,,,       1.0
안산,545,06-06,      20.0,      26.4,      14.5,       0.9,,,,,,,       1.5
경기광주,546,06-06,      20.8,      27.1,      15.2,       0.8,,,,,,,       1.4
여주,548,06-06,      21.2,      27.7,      15.5,       2.2,,,,,,,       1.1
용인,549,06-06,      20.6,      27.2,      15.0,       1.1,,,,,,,       1.2
오산,550,06-06,      20.9,      27.6,      15.8,       1.1,,,,,,,       1.2
평택,551,06-06,      21.8,      27.6,      17.0,       1.2,,,,,,,       1.6
화천,555,06-06,      20.3,      27.9,      14.3,       1.3,,,,,,,       1.0
양구,556,06-06,      19.8,      27.8,      13.7,       1.4,,,,,,,       1.1
시흥,565,06-06,      20.9,      26.0,      16.7,       1.0,,,,,,,       1.5
구리,569,06-06,      21.9,      27.8,      16.9,       0.9,,,,,,,       1.3
금곡,570,06-06,      20.1,      25.5,      15.8,       0.9,,,,,,,       1.3
화성,571,06-06,      20.3,      26.2,      15.8,       0.8,,,,,,,       1.2
성남,572,06-06,      22.3,      27.9,      17.3,       0.9,,,,,,,       1.1
과천,590,06-06,      21.4,      27.4,      16.1,       1.1,,,,,,,       1.6
진부령,595,06-06,      17.5,      23.3,      12.7,       3.2,,,,,,,       2.5
양주,598,06-06,      21.0,      27.4,      15.2,       1.0,,,,,,,       1.3
단양,601,06-06,      21.1,      28.2,      15.4,       1.3,,,,,,,       0.9
진천,602,06-06,      20.6,      27.2,      14.9,       1.0,,,,,,,       1.1
괴산,603,06-06,      20.6,      27.1,      14.7,       1.9,,,,,,,       1.1
옥천,604,06-06,      21.2,      27.6,      15.6,       1.4,,,,,,,       1.0
세종연서,611,06-06,      20.8,      27.3,      15.3,       1.3,,,,,,,       1.2
공주,612,06-06,      21.5,      27.9,      15.9,       1.4,,,,,,,       1.2
서천,614,06-06,      20.5,      25.8,      16.4,       2.1,,,,,,,       1.7
논산,615,06-06,      21.6,      27.7,      16.4,       1.8,,,,,,,       1.5
당진,616,06-06,      19.9,      26.1,      15.1,       1.2,,,,,,,       1.6
청양,618,06-06,      20.2,      26.8,      14.3,       1.5,,,,,,,       1.1
음성,619,06-06,      20.4,      27.5,      14.0,       1.1,,,,,,,       1.2
증평,623,06-06,      21.0,      27.7,      15.2,       1.1,,,,,,,       1.1
태안,627,06-06,      20.3,      25.5,      15.9,       1.3,,,,,,,       1.6
예산,628,06-06,      21.2,      27.5,      16.1,       0.9,,,,,,,       1.7
아산,634,06-06,      20.7,      26.8,      16.5,       0.8,,,,,,,       1.6
계룡,636,06-06,      20.2,      27.1,      14.1,       1.7,,,,,,,       1.0
오월드,642,06-06,      22.5,      28.4,      17.4,       1.4,,,,,,,       1.3
세천,643,06-06,      21.1,      27.6,      15.3,       1.3,,,,,,,       1.0
장동,648,06-06,      21.4,      27.7,      15.8,       1.4,,,,,,,       1.0
부평,649,06-06,      21.3,      28.0,      15.6,       1.5,,,,,,,       0.5
연천청산,652,06-06,      21.4,      28.0,      15.8,       0.9,,,,,,,       1.2
양양,670,06-06,      20.0,      24.1,      16.1,       1.8,,,,,,,       2.3
사북,674,06-06,      17.8,      23.9,      12.4,       1.9,,,,,,,       2.3
무안,699,06-06,      20.8,      26.5,      16.3,       1.4,,,,,,,       1.6
무주,701,06-06,      20.4,      27.2,      14.5,       1.1,,,,,,,       1.3
익산,702,06-06,      21.5,      27.5,      16.7,       1.5,,,,,,,       1.5
진안,703,06-06,      19.4,      26.0,      13.7,       1.7,,,,,,,       1.3
담양,706,06-06,      21.4,      27.5,      16.3,       1.5,,,,,,,       1.5
광산,708,06-06,      21.6,      28.2,      16.2,       2.0,,,,,,,       1.6
구례,709,06-06,      21.8,      28.7,      16.2,       1.7,,,,,,,       1.3
나주,710,06-06,      21.6,      28.3,      16.5,       1.8,,,,,,,       1.3
순천시,712,06-06,      21.7,      26.8,      17.6,       2.0,,,,,,,       1.6
광양읍,713,06-06,      21.7,      27.9,      16.8,       1.7,,,,,,,       1.1
조선대,722,06-06,      21.9,      27.8,      17.0,       1.4,,,,,,,       1.8
거문도,723,06-06,      19.6,      23.3,      17.3,       3.2,,,,,,,       2.6
추자도,724,06-06,      18.6,      21.9,      16.4,       2.2,,,,,,,       3.0
장성,730,06-06,      21.0,      27.8,      15.6,       1.5,,,,,,,       1.4
영암,731,06-06,      21.5,      27.2,      16.7,       2.0,,,,,,,       1.9
보성,732,06-06,      19.8,      25.9,      14.8,       3.0,,,,,,,       1.6
완주,734,06-06,      21.4,      28.2,      15.8,       1.6,,,,,,,       1.6
김제,737,06-06,      21.4,      27.2,      17.2,       1.5,,,,,,,       1.8
화순,741,06-06,      21.4,      28.4,      16.1,       1.7,,,,,,,       1.1
함평,754,06-06,      21.2,      27.1,      16.5,       1.3,,,,,,,       1.6
곡성,768,06-06,      21.6,      28.2,      16.1,       1.8,,,,,,,       1.2
성판악,782,06-06,      16.5,      20.6,      12.7,       6.3,,,,,,,       2.0
풍암,788,06-06,      22.1,      28.8,      17.0,       1.7,,,,,,,       1.1
압해도,789,06-06,      20.7,      25.7,      17.1,       1.7,,,,,,,       2.2
영양,801,06-06,      18.9,      26.3,      12.8,       1.7,,,,,,,       1.4
성주,810,06-06,      21.5,      28.4,      15.4,       1.5,,,,,,,       1.1
고령,812,06-06,      21.3,      28.3,      15.1,       1.5,,,,,,,       0.9
청도,813,06-06,      21.2,      28.3,      15.2,       1.7,,,,,,,       1.4
예천,815,06-06,      20.8,      27.9,      14.6,       1.1,,,,,,,       1.1
김천,822,06-06,      21.5,      28.7,      15.2,       1.6,,,,,,,       1.0
군위,823,06-06,      20.7,      28.4,      14.2,       1.3,,,,,,,       1.3
칠곡,825,06-06,      22.1,      28.7,      16.5,       1.8,,,,,,,       1.6
경산,827,06-06,      22.1,      29.0,      16.7,       1.7,,,,,,,       1.8
달성,828,06-06,      22.4,      29.3,      16.8,       1.5,,,,,,,       1.5
대구서구,846,06-06,      22.8,      29.2,      17.5,       1.3,,,,,,,       1.9
신암,860,06-06,      22.5,      28.4,      17.4,       1.4,      58.4,       7.4,       5.4,,    1003.0,    1009.9,       2.3
완산,864,06-06,      21.9,      28.0,      16.7,       1.6,      66.0,       6.5,       5.3,       4.9,    1003.1,    1009.4,       1.6
삼척,876,06-06,      19.5,      23.5,      15.9,       1.9,,,,,,,       1.8
울기,901,06-06,      18.7,      22.4,      16.5,       2.2,,,,,,,       2.1
삼천포,907,06-06,      20.5,      24.7,      17.6,       1.9,,,,,,,       1.6
영도,910,06-06,      19.0,      22.5,      16.4,       2.6,,,,,,,       3.9
고성,918,06-06,      20.9,      26.5,      16.5,       1.9,,,,,,,       1.9
창녕,919,06-06,      22.2,      29.5,      15.9,       1.5,,,,,,,       1.8
함안,920,06-06,      21.3,      28.8,      15.6,       1.8,,,,,,,       1.3
가덕도,921,06-06,      19.6,      23.5,      17.0,       1.8,,,,,,,       3.2
기장,923,06-06,      19.6,      24.1,      15.4,       2.8,,,,,,,       1.7
간절곶,924,06-06,      18.8,      21.7,      16.4,       2.5,,,,,,,       3.0
하동,932,06-06,      21.9,      28.1,      17.1,       2.1,,,,,,,       1.3
해운대,937,06-06,      20.1,      24.4,      16.8,       2.7,,,,,,,       2.0
부산진,938,06-06,      21.2,      25.6,      17.6,       2.4,,,,,,,       2.1
동래,940,06-06,      21.1,      26.1,      17.1,       2.3,,,,,,,       1.7
북구,941,06-06,      21.1,      26.1,      17.0,       2.2,,,,,,,       2.2
부산남구,942,06-06,      20.7,      24.6,      17.7,       2.8,,,,,,,       2.0
정자,949,06-06,      19.9,      24.5,      16.0,       1.7,,,,,,,       2.4
속초,90,06-07,      18.7,      22.6,      15.3,       1.4,      77.7,       6.1,,,    1007.2,    1009.3,       2.0
철원,95,06-07,      20.5,      26.4,      14.9,       1.4,      68.2,       7.1,,,     991.1,    1008.9,       1.7
동두천,98,06-07,      21.2,      28.0,      15.7,       1.2,      65.4,       6.9,,,     996.2,    1009.0,       1.4
파주,99,06-07,      20.5,      27.0,      15.4,       1.4,      73.4,       7.1,,,    1005.9,    1009.4,       1.3
대관령,100,06-07,      15.3,      20.9,      10.2,       2.4,      77.0,       7.0,,,     918.7,    1009.8,       2.7
춘천,101,06-07,      21.5,      27.9,      15.8,       1.4,      68.2,       7.3,,,    1000.3,    1009.1,       1.2
백령도,102,06-07,      18.1,      22.1,      15.1,       1.1,      77.8,       6.3,       6.3,,     993.2,    1008.8,       3.9
강릉,105,06-07,      20.4,      24.5,      16.5,       1.4,      67.3,       6.2,,,    1006.6,    1009.6,       1.9
동해,106,06-07,      18.5,      22.2,      15.2,       1.4,      75.7,       6.4,,,    1005.2,    1009.5,       2.0
서울,108,06-07,      22.1,      27.3,      17.7,       1.2,      61.8,       6.8,       5.3,       5.3,     999.2,    1009.1,       2.1
인천,112,06-07,      20.5,      25.1,      16.8,       1.2,      72.7,       7.6,       5.4,       4.8,    1001.1,    1009.1,       2.2
원주,114,06-07,      21.7,      27.7,      16.1,       1.4,      64.5,       6.7,,,     991.9,    1009.0,       1.0
울릉도,115,06-07,      18.2,      21.8,      15.2,       1.8,      77.0,       7.2,       6.1,       4.7,     984.6,    1010.3,       3.1
수원,119,06-07,      21.4,      27.0,      16.6,       0.9,      68.2,       7.0,       5.3,       5.2,    1005.3,    1009.5,       1.6
영월,121,06-07,      20.5,      27.9,      14.2,       1.5,      66.7,       6.9,,,     981.7,    1009.1,       1.3
충주,127,06-07,      21.2,      27.5,      15.4,       1.5,      63.2,       7.2,,,     998.0,    1009.3,       1.5
서산,129,06-07,      20.4,      26.1,      15.7,       1.1,      74.1,       7.4,,,    1006.6,    1009.5,       2.1
울진,130,06-07,      18.2,      22.1,      14.8,       1.9,      79.7,       6.9,,,    1003.9,    1009.7,       2.7
청주,131,06-07,      22.3,      27.9,      17.2,       1.6,      61.4,       7.3,       5.4,       5.4,    1002.6,    1009.3,       1.6
대전,133,06-07,      22.0,      27.7,      16.8,       1.8,      66.2,       7.5,       5.4,       5.0,    1001.3,    1009.3,       1.7
추풍령,135,06-07,      20.4,      26.5,      14.8,       1.9,      67.4,       7.1,,,     981.4,    1009.4,       1.9
안동,136,06-07,      21.1,      27.6,      15.3,       1.7,      65.4,       7.5,       5.4,       5.7,     993.4,    1009.6,       1.5
상주,137,06-07,      21.9,      28.3,      16.4,       1.5,      64.5,       7.3,,,     998.1,    1009.3,       1.3
포항,138,06-07,      20.6,      24.6,      17.3,       2.0,      72.5,       6.8,       5.9,       5.0,    1009.8,    1010.2,       2.2
군산,140,06-07,      20.7,      25.6,      16.9,       2.1,      78.1,       7.3,,,    1006.4,    1009.5,       2.7
울산,152,06-07,      20.5,      25.3,      16.5,       2.6,      71.4,       6.4,       5.8,,    1005.0,    1009.9,       1.8
창원,155,06-07,      20.9,      25.6,      17.4,       2.9,      71.6,       6.8,       5.4,,    1007.0,    1009.5,       1.9
광주,156,06-07,      22.1,      27.9,      17.6,       2.1,      68.7,       6.5,       5.9,,    1000.9,    1009.2,       1.9
부산,159,06-07,      20.2,      24.2,      17.2,       3.5,      72.9,       7.0,       5.6,       4.2,    1001.6,    1009.7,       2.9
통영,162,06-07,      20.2,      24.6,      16.9,       3.6,      75.4,       7.1,,,    1006.3,    1010.0,       1.9
목포,165,06-07,      20.8,      25.5,      17.3,       2.2,      76.9,       6.9,       5.5,       4.7,    1004.7,    1009.6,       2.8
여수,168,06-07,      20.4,      23.9,      17.9,       2.3,      74.6,       7.0,       5.5,       5.2,    1001.9,    1009.6,       2.7
흑산도,169,06-07,      18.3,      22.2,      15.5,       1.6,      85.9,       6.7,       5.8,,    1000.2,    1009.3,       3.6
완도,170,06-07,      20.4,      25.0,      16.9,       3.6,      76.7,       6.4,,,    1006.0,    1009.6,       2.7
고창,172,06-07,      21.2,      26.8,      17.0,       0.8,      80.9,       6.4,,,    1003.1,    1009.1,       2.2
제주,184,06-07,      20.6,      24.1,      17.9,       2.3,      76.4,       6.4,       6.1,       4.6,    1006.9,    1009.5,       2.7
고산,185,06-07,      19.8,      23.3,      17.2,       2.0,      83.0,       6.5,,,    1000.7,    1009.1,       4.0
성산,188,06-07,      20.0,      23.4,      16.7,       3.7,      80.6,       5.8,,,    1007.6,    1009.7,       2.5
서귀포,189,06-07,      21.1,      24.2,      18.5,       4.4,      77.1,       5.6,       6.2,       3.9,    1003.3,    1009.2,       2.2
진주,192,06-07,      21.0,      27.3,      15.8,       2.3,      70.6,       6.8,,,    1006.5,    1009.5,       1.3
강화,201,06-07,      19.5,      24.9,      14.9,       1.5,      72.3,       7.5,,,    1004.3,    1009.7,       1.9
양평,202,06-07,      21.4,      27.9,      15.5,       1.6,      67.2,       7.5,,,    1004.3,    1009.9,       1.2
이천,203,06-07,      21.3,      27.7,      15.5,       1.4,      63.7,       7.3,,,    1000.4,    1009.2,       1.2
인제,211,06-07,      19.5,      26.7,      13.8,       1.6,      67.8,       7.2,,,     986.6,    1009.6,       1.8
홍천,212,06-07,      20.8,      28.1,      14.6,       1.4,      63.5,       7.4,,,     993.3,    1009.6,       1.2
태백,216,06-07,      17.2,      23.7,      11.6,       2.3,      68.7,       7.1,,,     929.2,    1009.0,       1.5
정선군,217,06-07,      20.3,      27.9,      14.2,       1.5,      64.8,       7.3,,,     973.9,    1008.9,       1.5
제천,221,06-07,      19.9,      26.7,      13.8,       1.7,      65.7,       7.6,,,     979.7,    1009.5,       1.4
보은,226,06-07,      20.3,      26.8,      14.4,       1.6,      66.8,       7.7,,,     989.1,    1009.0,       1.3
천안,232,06-07,      21.0,      27.2,      15.5,       1.1,      65.9,       7.6,,,    1005.5,    1009.4,       1.5
보령,235,06-07,      20.1,      25.3,      15.8,       1.6,      75.0,       7.6,,,    1007.6,    1009.8,       1.5
부여,236,06-07,      21.4,      27.9,      15.9,       2.2,      69.0,       7.6,,,    1008.1,    1009.6,       1.2
금산,238,06-07,      20.8,      27.6,      14.8,       2.1,      66.2,       7.4,,,     989.8,    1009.4,       1.1
부안,243,06-07,      20.6,      26.2,      16.3,       1.7,      73.3,       7.5,,,    1008.6,    1009.7,       1.6
임실,244,06-07,      20.0,      26.9,      14.2,       2.2,      70.5,       6.8,,,     981.3,    1009.5,       1.2
정읍,245,06-07,      21.4,      27.6,      16.3,       2.0,      68.2,       6.6,,,    1004.2,    1009.5,       1.2
남원,247,06-07,      21.5,      27.9,      15.8,       2.4,      68.8,       7.2,,,     997.9,    1009.5,       1.4
장수,248,06-07,      19.5,      25.8,      13.7,       2.0,      72.4,       6.8,,,     963.1,    1009.3,       1.5
영광군,252,06-07,      20.9,      26.4,      16.7,       0.8,      75.3,       6.9,,,    1004.9,    1009.2,       1.9
김해시,253,06-07,      21.9,      27.2,      17.9,       1.5,      68.5,       6.9,,,    1003.4,    1010.2,       1.8
순창군,254,06-07,      21.7,      28.2,      16.4,       1.3,      68.2,       7.2,,,     994.7,    1009.2,       1.6
양산시,257,06-07,      22.0,      27.7,      17.4,       1.2,      64.7,       6.4,,,    1008.9,    1010.6,       2.5
강진군,259,06-07,      21.3,      26.4,      17.1,       2.6,      73.6,       6.7,,,    1008.4,    1009.8,       2.4
장흥,260,06-07,      20.6,      26.0,      15.9,       2.8,      73.8,       6.3,,,    1004.5,    1009.6,       1.8
해남,261,06-07,      20.7,      26.1,      16.1,       2.7,      74.0,       6.9,,,    1007.7,    1009.7,       2.2
고흥,262,06-07,      20.2,      25.6,      15.5,       3.2,      72.0,       6.5,,,    1003.8,    1009.7,       1.3
의령군,263,06-07,      21.4,      27.9,      16.0,       0.8,      73.3,       6.0,,,    1007.3,    1008.9,       1.0
함양군,264,06-07,      21.3,      28.0,      15.6,       1.3,      75.2,       6.6,,,     991.3,    1008.6,       0.9
진도군,268,06-07,      20.5,      25.7,      15.8,       1.8,,,,,,,       1.7
봉화,271,06-07,      18.8,      26.3,      11.9,       1.9,      69.1,       7.5,,,     972.8,    1009.0,       1.3
영주,272,06-07,      20.6,      27.1,      14.5,       2.1,      64.9,       7.7,,,     985.3,    1009.2,       1.9
문경,273,06-07,      20.5,      27.0,      14.6,       2.1,      66.4,       7.4,,,     989.7,    1009.4,       1.5
청송군,276,06-07,      19.7,      27.3,      13.5,       2.0,      71.6,       7.2,,,     985.3,    1009.1,       1.3
영덕,277,06-07,      19.2,      24.6,      14.5,       1.9,      73.0,       7.2,,,    1005.9,    1010.9,       2.3
의성,278,06-07,      20.6,      28.3,      13.6,       1.7,      64.9,       7.1,,,    1000.4,    1009.5,       1.1
구미,279,06-07,      21.9,      28.1,      16.1,       1.7,      64.0,       7.4,,,    1004.3,    1009.7,       1.3
영천,281,06-07,      20.7,      27.0,      15.0,       1.8,      65.5,       7.2,,,     999.3,    1010.0,       1.8
경주시,283,06-07,      21.0,      27.0,      16.0,       1.9,      71.5,       6.5,,,    1004.9,    1009.4,       2.3
경주시,283,06-07,      21.0,      27.0,      16.0,       1.9,      71.5,       6.5,,,    1004.9,    1009.4,       2.3
거창,284,06-07,      20.5,      27.2,      14.5,       2.2,      68.3,       7.2,,,     983.9,    1009.5,       1.3
합천,285,06-07,      21.5,      28.3,      15.5,       1.5,      63.8,       6.6,,,    1006.0,    1009.7,       1.3
밀양,288,06-07,      21.5,      28.1,      15.9,       2.0,      66.2,       6.6,,,    1008.5,    1009.9,       1.4
산청,289,06-07,      21.0,      27.3,      15.6,       2.5,      67.8,       7.0,,,     994.0,    1010.0,       1.3
거제,294,06-07,      20.3,      25.4,      16.1,       4.0,      70.3,       7.1,,,    1005.1,    1009.6,       1.7
남해,295,06-07,      20.8,      26.2,      16.5,       3.8,      70.1,       7.1,,,    1005.0,    1010.4,       1.3
강남,400,06-07,      22.9,      27.9,      18.8,       0.9,,,,,,,       1.6
서초,401,06-07,      23.1,      28.7,      18.5,       1.1,,,,,,,       1.3
강동,402,06-07,      22.5,      28.2,      17.5,       1.3,,,,,,,       1.4
송파,403,06-07,      23.1,      28.3,      18.8,       1.1,,,,,,,       1.6
강서,404,06-07,      22.0,      26.9,      17.8,       1.0,,,,,,,       1.6
양천,405,06-07,      23.0,      28.0,      18.8,       1.1,,,,,,,       1.4
도봉,406,06-07,      21.8,      27.8,      16.4,       1.1,,,,,,,       1.0
노원,407,06-07,      21.5,      27.9,      15.6,       1.2,,,,,,,       1.4
동대문,408,06-07,      23.0,      28.3,      18.6,       1.2,,,,,,,       1.8
중랑,409,06-07,      23.1,      28.1,      18.8,       1.5,,,,,,,       2.0
기상청,410,06-07,      22.3,      27.4,      18.1,       1.3,,,,,,,       1.4
마포,411,06-07,      22.6,      27.7,      18.5,       1.2,,,,,,,       2.0
서대문,412,06-07,      21.5,      27.7,      16.6,       1.2,,,,,,,       1.2
광진,413,06-07,      22.9,      28.1,      18.5,       1.1,,,,,,,       1.7
성북,414,06-07,      21.8,      27.0,      17.5,       1.4,,,,,,,       1.5
용산,415,06-07,      23.0,      28.1,      18.7,       1.3,,,,,,,       1.7
은평,416,06-07,      21.4,      27.0,      16.5,       1.0,,,,,,,       1.5
금천,417,06-07,      22.2,      26.8,      18.2,       1.2,,,,,,,       1.8
중구,419,06-07,      21.3,      27.1,      17.0,       1.2,,,,,,,       1.5
성동,421,06-07,      23.0,      27.8,      19.0,       1.1,,,,,,,       2.2
구로,423,06-07,      21.8,      27.4,      17.2,       1.4,,,,,,,       1.7
강북,424,06-07,      23.0,      28.3,      18.6,       1.2,,,,,,,       1.7
남현,425,06-07,      21.6,      27.3,      16.7,       1.8,,,,,,,       1.1
부천,433,06-07,      22.0,      26.9,      18.0,       1.6,,,,,,,       1.2
안양,434,06-07,      22.0,      26.7,      18.0,       1.3,,,,,,,       2.0
광명,437,06-07,      22.4,      27.1,      18.4,       1.6,,,,,,,       1.8
군포,438,06-07,      22.2,      27.1,      18.0,       1.3,,,,,,,       1.4
김포,441,06-07,      20.9,      25.9,      16.8,       1.5,,,,,,,       1.7
하남,444,06-07,      22.1,      27.7,      17.1,       0.8,,,,,,,       0.8
의왕,445,06-07,      20.8,      26.4,      15.9,       1.1,,,,,,,       1.0
포천,504,06-07,      21.4,      28.0,      15.8,       1.2,,,,,,,       1.3
가평조종,505,06-07,      20.0,      27.1,      13.6,       1.4,,,,,,,       1.0
영등포,510,06-07,      22.9,      27.9,      19.0,       1.2,,,,,,,       1.6
인천연수,512,06-07,      21.0,      26.2,      16.7,       1.4,,,,,,,       1.5
안성,516,06-07,      21.9,      27.8,      16.7,       1.3,,,,,,,       1.2
간성,517,06-07,      18.7,      23.3,      15.0,       1.9,,,,,,,       1.4
평창,526,06-07,      19.5,      26.5,      13.7,       1.7,,,,,,,       1.2
의정부,532,06-07,      21.2,      27.5,      15.7,       1.2,,,,,,,       1.0
횡성,536,06-07,      20.8,      28.2,      14.8,       1.8,,,,,,,       1.1
고양,540,06-07,      21.2,      28.1,      15.5,       1.1,,,,,,,       1.1
남양주,541,06-07,      21.0,      27.8,      14.7,       1.3,,,,,,,       1.1
안산,545,06-07,      20.2,      26.7,      14.7,       1.1,,,,,,,       1.5
경기광주,546,06-07,      21.0,      27.3,      15.5,       1.6,,,,,,,       1.4
여주,548,06-07,      21.3,      27.8,      15.6,       1.7,,,,,,,       1.1
용인,549,06-07,      20.7,      27.3,      15.1,       1.4,,,,,,,       1.2
오산,550,06-07,      21.1,      27.8,      15.8,       1.2,,,,,,,       1.2
평택,551,06-07,      22.0,      27.9,      17.2,       1.4,,,,,,,       1.6
화천,555,06-07,      20.5,      28.0,      14.6,       1.7,,,,,,,       1.0
양구,556,06-07,      19.9,      27.8,      13.9,       1.6,,,,,,,       1.1
시흥,565,06-07,      21.2,      26.3,      17.0,       1.3,,,,,,,       1.5
구리,569,06-07,      22.1,      27.9,      17.1,       1.2,,,,,,,       1.3
금곡,570,06-07,      20.3,      25.8,      15.9,       1.2,,,,,,,       1.2
화성,571,06-07,      20.6,      26.5,      15.9,       1.0,,,,,,,       1.2
성남,572,06-07,      22.5,      28.0,      17.5,       1.0,,,,,,,       1.1
과천,590,06-07,      21.6,      27.6,      16.3,       1.2,,,,,,,       1.6
진부령,595,06-07,      17.2,      22.9,      12.6,       3.6,,,,,,,       2.4
양주,598,06-07,      21.2,      27.7,      15.4,       1.2,,,,,,,       1.3
단양,601,06-07,      21.3,      28.3,      15.5,       1.7,,,,,,,       1.0
진천,602,06-07,      20.8,      27.4,      15.0,       1.4,,,,,,,       1.1
괴산,603,06-07,      20.8,      27.2,      14.9,       2.3,,,,,,,       1.1
옥천,604,06-07,      21.4,      27.7,      15.8,       1.5,,,,,,,       1.1
세종연서,611,06-07,      20.9,      27.4,      15.5,       1.7,,,,,,,       1.2
공주,612,06-07,      21.7,      28.1,      16.1,       1.6,,,,,,,       1.2
서천,614,06-07,      20.8,      26.1,      16.7,       2.0,,,,,,,       1.7
논산,615,06-07,      21.8,      27.9,      16.6,       2.0,,,,,,,       1.5
당진,616,06-07,      20.1,      26.3,      15.3,       1.2,,,,,,,       1.5
청양,618,06-07,      20.4,      27.0,      14.4,       1.6,,,,,,,       1.1
음성,619,06-07,      20.6,      27.6,      14.1,       1.4,,,,,,,       1.2
증평,623,06-07,      21.2,      27.9,      15.2,       1.4,,,,,,,       1.1
태안,627,06-07,      20.5,      25.7,      16.1,       1.4,,,,,,,       1.6
예산,628,06-07,      21.4,      27.7,      16.3,       1.0,,,,,,,       1.7
아산,634,06-07,      21.0,      27.1,      16.7,       0.9,,,,,,,       1.6
계룡,636,06-07,      20.4,      27.3,      14.3,       1.7,,,,,,,       1.0
오월드,642,06-07,      22.6,      28.5,      17.6,       1.5,,,,,,,       1.3
세천,643,06-07,      21.3,      27.8,      15.5,       1.6,,,,,,,       1.0
